Episode,Total Reward,Requests Served,Average Waiting
913,-13769739,37,85.65
914,-16069020,20,98.01
915,-15044677,50,92.12
916,-15717274,43,95.7
917,-11182698,65,82.56
918,-11606285,55,80.41
919,-11918921,37,77.07
920,-11422241,60,74.61
921,-13314700,54,85.06
922,-10425537,53,75.0
923,-8822930,59,62.89
924,-12240649,55,81.73
925,-10891097,64,80.87
926,-10487774,69,77.36
927,-12952547,63,82.59
928,-12452019,36,82.65
929,-10181881,52,74.94
930,-10632958,55,79.16
931,-8895089,54,71.8
932,-7964550,65,68.96
933,-11794280,51,80.3
934,-11731386,56,79.36
935,-8065844,59,60.91
936,-10718465,62,81.21
937,-13616649,38,81.48
938,-14327788,53,84.19
939,-10713223,57,78.0
940,-11215554,45,72.69
941,-11524673,25,82.93
942,-8546565,76,72.6
943,-15026639,33,90.94
944,-10433519,63,73.05
945,-14321995,66,98.4
946,-8621428,60,66.55
947,-10895226,45,80.22
948,-10140743,48,74.38
949,-12977599,61,86.63
950,-8558662,31,62.38
951,-15073354,40,91.5
952,-14337083,45,91.21
953,-12509913,52,83.29
954,-12879532,56,80.94
955,-13554774,51,89.47
956,-11989418,42,81.35
957,-6110630,51,58.52
958,-12005812,74,77.17
959,-8147190,68,72.93
960,-13903465,29,90.51
961,-13461386,37,91.2
962,-14419666,46,97.21
963,-10079823,58,69.92
964,-15679786,38,96.88
965,-14878480,36,92.23
966,-10763950,42,72.0
967,-13601527,52,82.58
968,-12242852,55,79.58
969,-9156537,49,63.2
970,-9892116,35,69.84
971,-12264179,35,80.58
972,-10899337,34,82.55
973,-15231663,34,96.84
974,-10721545,36,71.89
975,-11605954,37,78.83
976,-9194804,69,79.63
977,-11527125,62,80.18
978,-14197455,47,90.73
979,-14585135,43,94.17
980,-10037938,54,76.9
981,-8442978,56,65.87
982,-9132518,67,62.11
983,-13208081,52,88.52
984,-13183844,53,85.62
985,-6626048,65,63.75
986,-11272660,32,82.6
987,-12123978,39,82.25
988,-11045714,43,76.91
989,-9771241,32,68.8
990,-14003588,46,92.89
991,-13375143,55,86.63
992,-11161126,40,77.35
993,-12630171,25,83.45
994,-9349777,62,76.18
995,-12004772,59,82.42
996,-10775300,55,77.6
997,-9774583,58,78.58
998,-13686724,35,80.58
999,-11047715,65,76.21
1000,-12962319,34,83.19
1001,-13954931,41,85.87
1002,-13588450,51,95.75
1003,-10692333,52,75.91
1004,-17125945,12,103.01
1005,-10569825,52,74.89
1006,-12229063,51,79.76
1007,-10386502,47,75.45
1008,-13857680,53,80.6
1009,-12622485,13,86.33
1010,-14939907,14,88.07
1011,-7882098,59,59.21
1012,-9439286,51,75.86
1013,-11263384,62,84.27
1014,-10385599,48,79.69
1015,-13327501,41,90.86
1016,-15073424,29,96.06
1017,-10517220,47,72.16
1018,-11479964,54,82.47
1019,-12136766,55,82.29
1020,-12719266,56,84.76
1021,-10413845,42,74.38
1022,-8806984,63,67.22
1023,-16639065,38,95.5
1024,-12343291,46,89.39
1025,-12039168,54,78.78
1026,-8954502,65,64.88
